datetime,interval,length,style,distance,time,strokes
2016-09-19 18:37:00,1,3,BREASTSTROKE,25.0,10.437,4
2016-09-19 18:37:00,1,4,BREASTSTROKE,25.0,24.62,10
2016-09-19 18:37:00,5,16,FREESTYLE,25.0,16.812,6
2016-09-19 18:37:00,5,17,FREESTYLE,25.0,69.5,26
2016-09-22 18:00:00,4,3,FREESTYLE,25.0,63.812,23
2016-10-09 09:39:00,2,8,FREESTYLE,25.0,19.875,8
2016-10-09 09:39:00,2,9,FREESTYLE,25.0,38.187,14
2016-10-12 10:01:00,12,8,FREESTYLE,25.0,97.5,38
2016-10-15 08:25:00,5,5,FREESTYLE,25.0,54.25,23
2016-10-17 18:34:00,6,8,FREESTYLE,25.0,60.375,22
2016-10-19 19:08:00,7,1,FREESTYLE,25.0,57.0,21
2016-11-25 19:38:00,14,1,BREASTSTROKE,25.0,24.125,8
2016-11-25 19:38:00,14,2,BREASTSTROKE,25.0,12.687,4
2016-12-10 12:45:00,7,3,FREESTYLE,25.0,67.687,24
2016-12-12 19:34:00,4,6,FREESTYLE,25.0,50.125,19
2016-12-12 19:34:00,4,15,FREESTYLE,25.0,56.125,18
2016-12-16 19:29:00,4,1,FREESTYLE,25.0,21.625,7
2016-12-16 19:29:00,4,2,FREESTYLE,25.0,17.375,5
2017-02-04 18:40:00,1,1,BREASTSTROKE,25.0,18.25,7
2017-02-04 18:40:00,1,2,BREASTSTROKE,25.0,15.25,6
2017-02-17 19:35:00,6,1,FREESTYLE,25.0,65.812,23
2017-02-28 07:08:00,4,2,FREESTYLE,25.0,56.812,20
2017-03-15 07:08:00,3,3,FREESTYLE,25.0,12.437,5
2017-03-15 07:08:00,3,4,FREESTYLE,25.0,12.5,5
2017-03-31 20:24:00,3,6,BREASTSTROKE,25.0,16.312,7
2017-03-31 20:24:00,3,7,BREASTSTROKE,25.0,19.187,9
2017-07-16 12:58:00,1,2,BREASTSTROKE,25.0,18.187,6
2017-07-16 12:58:00,1,3,BREASTSTROKE,25.0,14.75,6
2017-07-16 12:58:00,3,12,BREASTSTROKE,25.0,18.562,6
2017-07-16 12:58:00,3,13,BREASTSTROKE,25.0,17.375,6
2017-07-30 12:58:00,1,5,BREASTSTROKE,25.0,24.312,10
2017-07-30 12:58:00,1,6,BREASTSTROKE,25.0,13.0,4
2017-09-13 07:09:00,4,3,BREASTSTROKE,25.0,16.5,6
2017-09-13 07:09:00,4,4,BREASTSTROKE,25.0,14.625,6
2017-09-13 07:09:00,6,4,FREESTYLE,25.0,53.312,19
2017-10-23 07:21:00,3,2,FREESTYLE,25.0,50.312,19
